item,name,coord,website,telefono,comune,indirizzo,email,lat,lon
http://www.wikidata.org/entity/Q1046411,Casa Museo Giovanni Verga,Point(15.0838131 37.5018093),http://www.museumland.com/verga/,+39-095-715-0598,Catania,"Via S. Anna, 8 - Catania",mailto:soprict.area@regione.sicilia.it,37.501796999999996,15.083694
http://www.wikidata.org/entity/Q3867881,Casa di Dante in Lunigiana,Point(9.889504 44.316086),http://www.lunigianadantesca.it,+39-328-387-5652,Mulazzo,Via Signorini 2,mailto:lunigianadantesca@libero.it,44.315839000000004,9.889774000000001
http://www.wikidata.org/entity/Q3867881,Casa di Dante in Lunigiana,Point(9.889504 44.316086),http://www.lunigianadantesca.it,+39-328-387-5652,Mulazzo,Via Signorini 2,mailto:lunigianadantesca@libero.it,44.316086,9.889503999999999
http://www.wikidata.org/entity/Q3867881,Casa di Dante in Lunigiana,Point(9.889504 44.316086),http://www.lunigianadantesca.it,+39-328-387-5652,Mulazzo,Via Signorini 2,mailto:lunigianadantesca@libero.it,44.315805600000004,9.889788900000001
http://www.wikidata.org/entity/Q3661293,Casa di Giulietta,Point(10.998694444 45.442),http://casadigiulietta.comune.verona.it/,+39-045-803-4303,Verona,"Via Cappello, 23 - Verona",mailto:castelvecchio@comune.verona.it,45.442,10.998694444444
http://www.wikidata.org/entity/Q959650,Casa di Goethe,Point(12.477192 41.90901),http://www.casadigoethe.it,+39-06-3265-0412,Roma,"Via del Corso, 18 - Roma",mailto:info@casadigoethe.it,41.909009999999995,12.477192
http://www.wikidata.org/entity/Q959650,Casa di Goethe,Point(12.477192 41.90901),http://www.casadigoethe.it,+39-06-3265-0412,Roma,"Via del Corso, 18 - Roma",mailto:info@casadigoethe.it,41.908970000000004,12.477078
http://www.wikidata.org/entity/Q2940778,Casa museo Rodolfo Siviero,Point(11.263696 43.76491),http://www.museocasasiviero.it/ww4_siviero/illuogo.page?country=en,+39-055-438-2652,Firenze,Lungarno Serristori 1 e 3,mailto:casasiviero@regione.toscana.it,43.76491,11.263696000000001
http://www.wikidata.org/entity/Q323726,Casa museo di Giorgio de Chirico,Point(12.4825087 41.9055396),http://www.fondazionedechirico.it,+39-06-679-6546,Roma,"Piazza di Spagna, 31 - Roma",mailto:fondazionedechirico@tiscali.it,41.9055396,12.4825087
http://www.wikidata.org/entity/Q3329137,Casa-museo Enzo Ferrari,Point(10.93554 44.65139),http://www.museocasaenzoferrari.it/,+39-059-439-7979,Modena,"via Paolo Ferrari, 85",mailto:info@museocasaenzoferrari.it,44.65139,10.93554
http://www.wikidata.org/entity/Q21551899,Casa-studio Fernando Melani,Point(10.912215 43.934304),http://musei.comune.pistoia.it/rete-museale/casa-studio-fernando-melani/,+39-0573-371475,Pistoia,Corso Gramsci 159,mailto:museocivico@comune.pistoia.it,43.934304,10.912215
http://www.wikidata.org/entity/Q3664859,Centro internazionale di fotografia Scavi Scaligeri,Point(10.99888889 45.44333333),https://scaviscaligeri.comune.verona.it/,+39-045-807-7626,Verona,"Cortile del Tribunale, 37121 Verona",mailto:scaviscaligeri@comune.verona.it,45.44333333,10.99888889
http://www.wikidata.org/entity/Q3664859,Centro internazionale di fotografia Scavi Scaligeri,Point(10.99888889 45.44333333),https://scaviscaligeri.comune.verona.it/,+39-045-807-7626,Verona,"Cortile del Tribunale, 37121 Verona",mailto:scaviscaligeri@comune.verona.it,45.441047999999995,10.996259
http://www.wikidata.org/entity/Q2946179,Centro per l'arte contemporanea Luigi Pecci,Point(11.108934 43.861033),http://www.centropecci.it,+39-0574-5317,Prato,Viale della Repubblica 277,mailto:info@centropecci.it,43.861033,11.108934
http://www.wikidata.org/entity/Q55359968,"Chiesa San'Emidio e Museo civico ""Cola Filotesio""",Point(13.29248 42.628017),http://www.amatrice.net,+39-0746-830834,Amatrice,"Via Cola, 47 - Amatrice",mailto:museocivico@comune.amatrice.it,42.628017,13.29248
http://www.wikidata.org/entity/Q3674012,Chiesa di Santa Maria delle Nevi,Point(11.328363 43.32424),http://www.polomusealetoscana.beniculturali.it/index.php?it/146/istituti-e-luoghi-della-cultura,+39-0577-248111,Siena,Via Montanini 3a,mailto:pm-tos.pinacoteca-si@beniculturali.it,43.32424,11.328363000000001
http://www.wikidata.org/entity/Q3674012,Chiesa di Santa Maria delle Nevi,Point(11.328363 43.32424),http://www.polomusealetoscana.beniculturali.it/index.php?it/146/istituti-e-luoghi-della-cultura,+39-0577-248111,Siena,Via Montanini 3a,mailto:pm-tos.pinacoteca-si@beniculturali.it,43.3215,11.33
http://www.wikidata.org/entity/Q3678765,Civiche raccolte d'arte applicata,Point(9.180428 45.46962),http://www.milanocastello.it/ita/permanenti.html,+39-02-8846-3666,Milano,Piazza Castello,mailto:craai@comune.milano.it,45.46962,9.180428
http://www.wikidata.org/entity/Q3678766,Civiche raccolte d'arte di palazzo Marliani-Cicogna,Point(8.851209 45.613342),http://www.comune.bustoarsizio.va.it/index.php/visita-busto/museopalazzomarlianicicogna,+39-0331-635505,Busto Arsizio,"Piazza Vittorio Emanuele II, 2 - Busto Arsizio",mailto:museibusto@comune.bustoarsizio.va.it,45.613341999999996,8.851208999999999
http://www.wikidata.org/entity/Q3678769,Civico museo archeologico di Bergamo,Point(9.659388 45.705772),http://www.museoarcheologicobergamo.it/,+39-035-242839,Bergamo,"Piazza Cittadella, 9 - Bergamo",mailto:archeomuseo@comune.bg.it,45.705771999999996,9.659388
http://www.wikidata.org/entity/Q604908,Civico museo archeologico di Milano,Point(9.17872222 45.46561944),http://www.museoarcheologicomilano.it/,+39-02-8846-5720,Milano,Corso Magenta 15 e presso il Castello Sforzesco,mailto:museo.archeologico@comune.milano.it,45.46561944,9.17872222
http://www.wikidata.org/entity/Q1118778,Civico museo biblioteca dell'Attore,Point(8.941868 44.407124),http://www.museoattore.it,+39-010-557-6085,Genova,"Via del Seminario, 10 - Genova",mailto:segreteria@cmba.it,44.407123999999996,8.941868
http://www.wikidata.org/entity/Q3678770,Civico museo d'arte orientale,Point(13.767557 45.649063),http://www.retecivica.trieste.it/triestecultura/new/musei/museo_orientale/default.asp,+39-040-322-0736,Trieste,"Via San Sebastiano, 1 - Trieste",mailto:museoarteorientale@comune.trieste.it,45.648999999999994,13.76746
http://www.wikidata.org/entity/Q3678770,Civico museo d'arte orientale,Point(13.767557 45.649063),http://www.retecivica.trieste.it/triestecultura/new/musei/museo_orientale/default.asp,+39-040-322-0736,Trieste,"Via San Sebastiano, 1 - Trieste",mailto:museoarteorientale@comune.trieste.it,45.649063,13.767557
http://www.wikidata.org/entity/Q16337874,Civico museo-studio Francesco Messina,Point(9.181706 45.46072),http://www.comune.milano.it,+39-02-8645-3005,Milano,"via San Sisto, 4/a",mailto:sabrina.gandini@comune.milano.it,45.46072,9.181706
http://www.wikidata.org/entity/Q55674068,Collezione Acton - Villa La Pietra,Point(11.263378 43.798565),http://www.nyu.edu/lapietra,+39-055-500-7210,Firenze,Via Bolognese 120,mailto:villa.lapietra@nyu.edu,43.798565,11.263378
http://www.wikidata.org/entity/Q20009137,Collezioni egittologiche dell'Università di Pisa,Point(10.399941 43.71839),https://www.egitto.sma.unipi.it/,+39-050-598647,Pisa,Via San Frediano 12,mailto:info.collezioni-egittologiche@sma.unipi.it,43.71839,10.399941
http://www.wikidata.org/entity/Q55373690,Collezioni osservatorio ximeniano,Point(11.25511 43.774825),http://www.ximeniano.it,+39-055-210420,Firenze,Piazza San Lorenzo 6,mailto:emilio.borchi@unifi.it,43.774147,11.25479
http://www.wikidata.org/entity/Q55373690,Collezioni osservatorio ximeniano,Point(11.25511 43.774825),http://www.ximeniano.it,+39-055-210420,Firenze,Piazza San Lorenzo 6,mailto:emilio.borchi@unifi.it,43.774825,11.25511
http://www.wikidata.org/entity/Q3713392,Domus Mazziniana,Point(10.398222222 43.711611111),http://www.domusmazziniana.it,+39-050-24174,Pisa,Via Giuseppe Mazzini 71,mailto:info@domusmazziniana.it,43.711611111111004,10.398222222222
http://www.wikidata.org/entity/Q55674229,"Domus Romana Lucca ""Casa del Fanciullo Sul Delfino""",Point(10.50316 43.84515),http://www.domusromanalucca.it,+39-0583-050060,Lucca,Via Cesare Battisti 15,mailto:info@domusromanalucca.it,43.84515,10.503160000000001
http://www.wikidata.org/entity/Q55374957,Ecomuseo Montagna Pistoiese - Polo Didattico del Ghiaccio,Point(10.907859 43.930347),http://www.ecomuseopt.it,+39-800-974-102,Pistoia,Via della Noce,mailto:ecomuseopt@gmail.com,43.930347,10.907859
http://www.wikidata.org/entity/Q55685693,Fondazione Merz,Point(7.6428 45.06211),http://www.fondazionemerz.org/,+39-011-1971-9437,Turin,"Via Limone, 24 - Torino",mailto:info@fondazionemerz.org,45.06211,7.6428
http://www.wikidata.org/entity/Q55685693,Fondazione Merz,Point(7.6428 45.06211),http://www.fondazionemerz.org/,+39-011-1971-9437,Turin,"Via Limone, 24 - Torino",mailto:info@fondazionemerz.org,45.06197,7.642983
http://www.wikidata.org/entity/Q3747222,Fondazione Spadolini Nuova Antologia,Point(11.266779 43.744686),http://www.nuovaantologia.it/htdocs/index.html,+39-055-233-6071,Firenze,"Via Pian dei Giullari, 139 - Firenze",mailto:fondazione@nuovaantologia.it,43.7454,11.2595
http://www.wikidata.org/entity/Q3747222,Fondazione Spadolini Nuova Antologia,Point(11.266779 43.744686),http://www.nuovaantologia.it/htdocs/index.html,+39-055-233-6071,Firenze,"Via Pian dei Giullari, 139 - Firenze",mailto:fondazione@nuovaantologia.it,43.744686,11.266779
http://www.wikidata.org/entity/Q3748713,Fortezza Santa Barbara,Point(10.9226 43.92915),http://www.polomusealetoscana.beniculturali.it/index.php?it/214/pistoia-fortezza-di-santa-barbara,+39-0573-24212,Pistoia,Piazza della Resistenza,mailto:pm-tos@beniculturali.it,43.92915,10.9226
http://www.wikidata.org/entity/Q3748713,Fortezza Santa Barbara,Point(10.9226 43.92915),http://www.polomusealetoscana.beniculturali.it/index.php?it/214/pistoia-fortezza-di-santa-barbara,+39-0573-24212,Pistoia,Piazza della Resistenza,mailto:pm-tos@beniculturali.it,43.930085,10.920931
http://www.wikidata.org/entity/Q3756440,Gabinetto dei disegni e delle stampe,Point(11.256379 43.768997),http://www.uffizi.it,+39-055-238-8671,Firenze,"via della Ninna, 5 - Firenze",mailto:ga-uff@beniculturali.it,43.768997,11.256378999999999
http://www.wikidata.org/entity/Q55374459,Gabinetto di storia naturale del Liceo Machiavelli,Point(10.503225 43.845483),http://liceo-machiavelli.it,+39-0583-496471,Lucca,Via degli Asili 35,mailto:segreteria@liceo-machiavelli.it,43.84552,10.502932000000001
http://www.wikidata.org/entity/Q55374459,Gabinetto di storia naturale del Liceo Machiavelli,Point(10.503225 43.845483),http://liceo-machiavelli.it,+39-0583-496471,Lucca,Via degli Asili 35,mailto:segreteria@liceo-machiavelli.it,43.845483,10.503225
http://www.wikidata.org/entity/Q841506,Galleria Borghese,Point(12.492142 41.91419),http://galleriaborghese.beniculturali.it/,+39-06-841-3979,Municipio Roma I,"piazzale Scipione Borghese, s.n.c. - Roma",mailto:ga-bor@beniculturali.it,41.914190000000005,12.492142
http://www.wikidata.org/entity/Q1203458,Galleria Doria Pamphilj,Point(12.481639 41.897915),http://www.doriapamphilj.it,+39-06-679-7323,Roma,"Via del Corso, 305 - Roma",mailto:arti.rm@doriapamphilj.it,41.897669,12.481145
http://www.wikidata.org/entity/Q1203458,Galleria Doria Pamphilj,Point(12.481639 41.897915),http://www.doriapamphilj.it,+39-06-679-7323,Roma,"Via del Corso, 305 - Roma",mailto:arti.rm@doriapamphilj.it,41.897915000000005,12.481639
http://www.wikidata.org/entity/Q774128,Galleria Estense,Point(10.921177 44.648018),http://www.galleriaestense.beniculturali.it/,+39 0594395711390594395707,Modena,"piazza Sant'Agostino , 337 - Modena",mailto:ga-esten@beniculturali.it,44.648018,10.921177
http://www.wikidata.org/entity/Q774128,Galleria Estense,Point(10.921177 44.648018),http://www.galleriaestense.beniculturali.it/,+39 0594395711390594395707,Modena,"piazza Sant'Agostino , 337 - Modena",mailto:ga-esten@beniculturali.it,44.64825,10.92066
http://www.wikidata.org/entity/Q3757699,Galleria Spada,Point(12.471944444 41.894194444),http://galleriaspada.beniculturali.it/,+39-06-687-4896,Roma,"piazza Capo di Ferro, 13 - Roma",mailto:pm-laz@beniculturali.it,41.894234000000004,12.471891000000001
http://www.wikidata.org/entity/Q3757699,Galleria Spada,Point(12.471944444 41.894194444),http://galleriaspada.beniculturali.it/,+39-06-687-4896,Roma,"piazza Capo di Ferro, 13 - Roma",mailto:pm-laz@beniculturali.it,41.894194444444,12.471944444444
http://www.wikidata.org/entity/Q3757708,Galleria civica d'arte moderna e contemporanea,Point(7.669309 45.065067),http://www.gamtorino.it,+39-011-442-9518,Turin,"Via Magenta, 31",mailto:gam@fondazionetorinomusei.it,45.065067,7.669308999999999
http://www.wikidata.org/entity/Q20008271,Galleria civica di Modena,Point(10.930868 44.647217),http://www.comune.modena.it/galleria,+39-059-203-2911,Modena,"Corso Canalgrande, 103",mailto:galcivmo@comune.modena.it,44.647217,10.930867999999998
http://www.wikidata.org/entity/Q55372986,Galleria comunale d'arte contemporanea di Arezzo,Point(11.880936 43.464577),http://www.comune.arezzo.it,+39-0575-377469,Arezzo,"San Francesco, 4 - Arezzo",mailto:ufficiocultura@comune.arezzo.it,43.464776,11.880699
http://www.wikidata.org/entity/Q55372986,Galleria comunale d'arte contemporanea di Arezzo,Point(11.880699 43.464776),http://www.comune.arezzo.it,+39-0575-299255,Arezzo,Piazza San Francesco 4,mailto:ufficiocultura@comune.arezzo.it,43.464577,11.880936
http://www.wikidata.org/entity/Q17631151,Galleria d'arte moderna Achille Forti,Point(10.99746 45.4429),https://gam.comune.verona.it,+39-045-800-1903,Verona,"Cortile Mercato Vecchio 6, 37121 Verona",mailto:palazzoforti@comune.verona.it,45.4429,10.99746
http://www.wikidata.org/entity/Q3757722,Galleria d'arte moderna Ricci Oddi,Point(9.691217 45.049423),http://www.riccioddi.it/,+39-0523-320742,Piacenza,"Via San Siro 13,  - Piacenza",mailto:info@riccioddi.it,45.04848889,9.69201667
http://www.wikidata.org/entity/Q3757722,Galleria d'arte moderna Ricci Oddi,Point(9.691217 45.049423),http://www.riccioddi.it/,+39-0523-320742,Piacenza,"Via San Siro 13,  - Piacenza",mailto:info@riccioddi.it,45.049423,9.691217
http://www.wikidata.org/entity/Q3757721,Galleria d'arte moderna di Milano,Point(9.19972222 45.4725),http://www.gam-milano.com,+39-02-8844-5943,Milano,"Via Palestro, 16 - Milano",mailto:c.gam@comune.milano.it,45.4725,9.19972222
http://www.wikidata.org/entity/Q3757726,Galleria d'arte moderna raccolta Lercaro,Point(11.337674 44.498844),http://www.fondazionelercaro.it,+39-051-296-6120,Bologna,"Via Riva Reno, 57,  - Bologna",mailto:segreteria@fondazionelercaro.it,44.498844,11.337674
http://www.wikidata.org/entity/Q55374880,Galleria di Palazzo Alberti,Point(11.09482 43.88024),http://www.galleriapalazzoalberti.it,+39-0574-617359,Prato,Via degli Alberti 2,mailto:dir.segreteriagen@cariprato.it,43.880221,11.094834
http://www.wikidata.org/entity/Q55374880,Galleria di Palazzo Alberti,Point(11.09482 43.88024),http://www.galleriapalazzoalberti.it,+39-0574-617359,Prato,Via degli Alberti 2,mailto:dir.segreteriagen@cariprato.it,43.88024,11.09482
http://www.wikidata.org/entity/Q1492387,Galleria nazionale d'arte moderna,Point(12.4799803 41.917046),http://www.lagallerianazionale.com,+39-06-322981,Roma,"Viale delle Belle Arti 131, I-00197 Roma",mailto:gan-amc@beniculturali.it,41.91653,12.48177
http://www.wikidata.org/entity/Q1492387,Galleria nazionale d'arte moderna,Point(12.4799803 41.917046),http://www.lagallerianazionale.com,+39-06-322981,Roma,"Viale delle Belle Arti 131, I-00197 Roma",mailto:gan-amc@beniculturali.it,41.917046,12.479980300000001
http://www.wikidata.org/entity/Q3757763,Galleria nazionale di Cosenza,Point(16.260191 39.291836),http://www.articalabria.it/index.php?it/9/galleria-nazionale-di-cosenza,+39-0984-795639,Cosenza,via Gian Vincenzo Gravina - Cosenza,mailto:pm-cal.arnone@beniculturali.it,39.291835999999996,16.260191
http://www.wikidata.org/entity/Q338330,Gallerie dell'Accademia,Point(12.3283 45.43122),http://www.gallerieaccademia.it/,+39-041-522-2247,Venesia,Dorsoduro - Venezia,mailto:ga-ave@beniculturali.it,45.43122,12.3283
http://www.wikidata.org/entity/Q338330,Gallerie dell'Accademia,Point(12.3283 45.43122),http://www.gallerieaccademia.it/,+39-041-522-2247,Venesia,Dorsoduro - Venezia,mailto:ga-ave@beniculturali.it,45.431129999999996,12.328164
http://www.wikidata.org/entity/Q2054135,Gallerie di piazza Scala,Point(9.191022 45.468269),http://www.gallerieditalia.com,+39-800-167-619,Milano,"Piazza della Scala, 6 - Milano",mailto:info@gallerieditalia.com,45.468269,9.191022
http://www.wikidata.org/entity/Q2054135,Gallerie di piazza Scala,Point(9.191022 45.468269),http://www.gallerieditalia.com,+39-800-167-619,Milano,"Piazza della Scala, 6 - Milano",mailto:info@gallerieditalia.com,45.46735,9.19004
http://www.wikidata.org/entity/Q3763846,Giardino Bardini,Point(11.257991 43.764732),http://www.bardinipeyron.it,+39-055-234-6988,Firenze,Via de' Bardi 1/R,mailto:info@bardinipeyron.it,43.764732,11.257991
http://www.wikidata.org/entity/Q3763846,Giardino Bardini,Point(11.257991 43.764732),http://www.bardinipeyron.it,+39-055-234-6988,Firenze,Via de' Bardi 1/R,mailto:info@bardinipeyron.it,43.76488,11.257467
http://www.wikidata.org/entity/Q3763846,Giardino Bardini,Point(11.257991 43.764732),http://www.bardinipeyron.it,+39-055-234-6988,Firenze,Via de' Bardi 1/R,mailto:info@bardinipeyron.it,43.76374722,11.25735833
http://www.wikidata.org/entity/Q55674628,Giardino delle Scuderie Reali e Edificio delle Pagliere,Point(11.241643 43.76027),http://www.uffizi.it,+39-055-228-6288,Firenze,Viale Niccolò Machiavelli 24,mailto:ga-uff@beniculturali.it,43.76027,11.241643
http://www.wikidata.org/entity/Q60870374,Gipsoteca di Arte Antica,Point(10.40453 43.71755),https://www.gipsoteca.sma.unipi.it/,+39-050-221-1278,Pisa,Piazza San Paolo all'Orto 20,mailto:info.gipsoteca@sma.unipi.it,43.71755,10.404530000000001
http://www.wikidata.org/entity/Q24941453,Istituto centrale per la grafica,Point(12.483486 41.90154),http://www.grafica.beniculturali.it,+39-06-6998-0238,Roma,"Via della Stamperia , 6 - Roma",mailto:ic-gr@beniculturali.it,41.901540000000004,12.483486
http://www.wikidata.org/entity/Q1133966,Keats-Shelley Memorial House,Point(12.482614 41.905756),http://www.keats-shelley-house.org/,+39-06-678-4235,Roma,"Piazza di Spagna, 26 - Roma",mailto:info@keats-shelley-house.org,41.905756,12.482614
http://www.wikidata.org/entity/Q1133966,Keats-Shelley Memorial House,Point(12.482614 41.905756),http://www.keats-shelley-house.org/,+39-06-678-4235,Roma,"Piazza di Spagna, 26 - Roma",mailto:info@keats-shelley-house.org,41.90552,12.482406
http://www.wikidata.org/entity/Q3815828,Kleine Berlin,Point(13.779586 45.655815),http://www.cat.ts.it,+39-349-437-9352,Trieste,"Via F. Severo,  - Trieste",mailto:cat@cat.ts.it,45.655815000000004,13.779585999999998
http://www.wikidata.org/entity/Q3815828,Kleine Berlin,Point(13.779586 45.655815),http://www.cat.ts.it,+39-349-437-9352,Trieste,"Via F. Severo,  - Trieste",mailto:cat@cat.ts.it,45.6556,13.7781
http://www.wikidata.org/entity/Q3821046,La Permanente,Point(9.19545556 45.47665278),http://www.lapermanente.it,+39-02-655-1445,Milano,"Via Turati, 34 - Milano",mailto:info@lapermanente-milano.it,45.47665278,9.19545556
http://www.wikidata.org/entity/Q3821046,La Permanente,Point(9.19545556 45.47665278),http://www.lapermanente.it,+39-02-655-1445,Milano,"Via Turati, 34 - Milano",mailto:info@lapermanente-milano.it,45.47665,9.195382
http://www.wikidata.org/entity/Q2705376,Loggia del Bigallo,Point(11.255097 43.772808),http://museicivicifiorentini.comune.fi.it/bigallo/,+39-055-288496,Firenze,Piazza San Giovanni 1,mailto:o.bigallo@tiscali.it,43.77274722,11.25525556
http://www.wikidata.org/entity/Q2705376,Loggia del Bigallo,Point(11.255097 43.772808),http://museicivicifiorentini.comune.fi.it/bigallo/,+39-055-288496,Firenze,Piazza San Giovanni 1,mailto:o.bigallo@tiscali.it,43.772804,11.254977
http://www.wikidata.org/entity/Q2705376,Loggia del Bigallo,Point(11.255097 43.772808),http://museicivicifiorentini.comune.fi.it/bigallo/,+39-055-288496,Firenze,Piazza San Giovanni 1,mailto:o.bigallo@tiscali.it,43.772808000000005,11.255097
http://www.wikidata.org/entity/Q1881229,MAXXI - Museo nazionale delle arti del XXI secolo,Point(12.468314 41.928467),http://www.fondazionemaxxi.it,+39-06-321-0181,Municipio Roma II,"Via Guido Reni, 4/a - Roma",mailto:info@fondazionemaxxi.it,41.92807,12.46648
http://www.wikidata.org/entity/Q1881229,MAXXI - Museo nazionale delle arti del XXI secolo,Point(12.468314 41.928467),http://www.fondazionemaxxi.it,+39-06-321-0181,Municipio Roma II,"Via Guido Reni, 4/a - Roma",mailto:info@fondazionemaxxi.it,41.928467,12.468314
http://www.wikidata.org/entity/Q15057316,MUSE,Point(11.11448333 46.06263056),http://www.muse.it/,+39-0461-270311,Trento,"Corso del Lavoro e della Scienza 3, 38122 Trento (TN)",mailto:museinfo@muse.it,46.06263056,11.11448333
http://www.wikidata.org/entity/Q63970481,Maison des Arts,Point(14.208448 42.471841),http://www.fondazionepescarabruzzo.it/,+39-085-421-9109,Pescara,Corso Umberto I,mailto:fondazione@pescarabruzzo.it,42.471841,14.208448
http://www.wikidata.org/entity/Q3859939,Modern Automata Museum,Point(12.682615 42.23503),http://www.modernautomatamuseum.com,+39-0765-279821,Montopoli di Sabina,"Via Case Nuove, 7",mailto:info@modernautomatamuseum.com,42.23503,12.682615
http://www.wikidata.org/entity/Q55671544,Monumento nazionale Parco della Memoria storica,Point(13.962519 41.447056),http://www.comune.sanpietroinfine.ce.it/vivere-san-pietro-infine/museo-parco-della-memoria-storica/,+39-333-138-1559,San Pietro Infine,Piazza Risorgimento  - San Pietro Infine,mailto:comunesanpietroinfine@virgilio.it,41.447055999999996,13.962519
http://www.wikidata.org/entity/Q55385847,Mudas museum - Museo diocesano di Arezzo,Point(11.882482 43.467125),http://www.diocesiarezzo.it/index.php?option=com_content&view=article&id=310&Itemid=252,+39-0575-402-7268,Arezzo,"Piazza del Duomo , 1 - Arezzo",mailto:mudas@diocesi.arezzo.it,43.466926,11.882455
http://www.wikidata.org/entity/Q55385847,Mudas museum - Museo diocesano di Arezzo,Point(11.882482 43.467125),http://www.diocesiarezzo.it/index.php?option=com_content&view=article&id=310&Itemid=252,+39-0575-402-7268,Arezzo,"Piazza del Duomo , 1 - Arezzo",mailto:mudas@diocesi.arezzo.it,43.467125,11.882482000000001
http://www.wikidata.org/entity/Q21551998,Musei Civici - Pinacoteca e Museo della Carrozza,Point(13.451313 43.29899),http://www.comune.macerata.it,+39-0733-256361,Macerata,"Piazza Vittorio Veneto, 2",mailto:pinacoteca@comune.macerata.it,43.29899,13.451313
http://www.wikidata.org/entity/Q3825655,Musei Diocesani,Point(11.097875 43.882111),http://www.diocesiprato.it/museo-dellopera-del-duomo/,+39-0574-29339,Prato,Piazza del Duomo 49,mailto:beni.culturali@diocesiprato.it,43.882111,11.097875
http://www.wikidata.org/entity/Q3867515,Musei civici,Point(12.91327 43.91116),http://www.pesaromusei.it/sedi.asp?id=14,+39-0721387541474,Pesaro,"Piazza Toschi Mosca, 29 - Pesaro",mailto:pesaro@sistemamuseo.it,43.911159999999995,12.913269999999999
http://www.wikidata.org/entity/Q55359640,"Museo ""Cultura e musica popolare dei Peloritani""",Point(15.554015 38.193813),http://www.museomusicapeloritani.it,+39-090-53045,Comune di Messina,"Via Basiliani, SNC - Messina",mailto:mailbox@museomusicapeloritani.it,38.193813,15.554015
