denominazione,tipologia,ente,tip_amministrativa,indirizzo,frazione,cap,telefono,fax,email,sito_web,Latitudine,Longitudine
Biblioteca comunale Vincenzo Navarro,Importante non specializzata,Comune di Sambuca di Sicilia,Comune,Via P. Caruso,,92017.0,,,,,37.647385,13.111555
Biblioteca comunale,Pubblica,Comune di San Biagio Platani,Comune,Corso Umberto 54,,92020.0,,,,,37.5093493,13.526349
Biblioteca comunale,Pubblica,Comune di San Giovanni Gemini,Comune,Via Omero,,92020.0,+39 0922900082,+39 0922903336,a.martorana@comune.sangiovannigemini.ag.it,,37.6304656,13.6498055
Biblioteca comunale,Pubblica,Comune di Sant'Angelo Muxaro,Comune,Piazza Umberto I,,92020.0,+39 0922919506,+39 0922919805,,,37.4803233,13.5461917
Biblioteca comunale,Pubblica,Comune di Santa Margherita di Belice,Comune,Via Regione Siciliana n. 20,,92018.0,+39 092533403,+39 092533403,biblioteca@comune.santamargheritadibelice.ag.it,,37.6973237,13.0113019
Biblioteca comunale G. Ansalone,Pubblica,Comune di Santo Stefano Quisquina,Comune,Via L. Panepinto,,92020.0,,,,,37.623834,13.4912204
Biblioteca comunale Tommaso Fazello,Importante non specializzata,Comune di Sciacca,Comune,Via Roma n. 13,,92019.0,+39 092520446,+39 092220447,bibliotecasciacca@yahoo.it,,37.50703,13.082185
Biblioteca comunale Giuseppe Antonio Musso,Pubblica,Comune di Villafranca Sicula,Comune,Via Campi,,92020.0,,,,,37.5864134,13.2906319
Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto,Pubblica,Comune di Agrigento,Comune,Presso Scuola elementare - Via S. Giuseppe,Montaperto,92010.0,+39 0922418164,,,,37.3111882,13.576956
Biblioteca comunale Santo Spirito. Sezione esterna di Villaseta,Pubblica,Comune di Agrigento,Comune,Via XX settembre,Villaseta,92100.0,+39 0922597864,,,,37.298694,13.563071
Biblioteca comunale Falcone - Borsellino,Pubblica,Comune di Alessandria della Rocca,Comune,Piazza Luigi Ingo n. 8,,92010.0,+39 0922985337,+39 0922985337,,,37.5683954,13.4556857
Biblioteca comunale,Pubblica,Comune di Aragona,Comune,Via Palestrina,,92021.0,+39 092237170,,,,37.4044279,13.6184829
Biblioteca comunale,Pubblica,Comune di Canicatti',Comune,Via Cavallotti n. 9,,92024.0,+39 0922734505,+39 0922734504,,,37.3585183,13.8492265
Biblioteca comunale,Pubblica,Comune di Casteltermini,Comune,Via Roma 4,,92025.0,+39 0922929028,,biblio.casteltermini@virgilio.it,,37.5405211,13.6400753
Biblioteca comunale,Importante non specializzata,Comune di Montevago,Comune,Piazza della Repubblica 7,,92010.0,+39 092538008,+39 092538689,,,37.7026377,12.9901325
Biblioteca comunale Giovanni Falcone,Importante non specializzata,Comune di Palma di Montechiaro,Comune,Via Carlo Marx n. 3,,92020.0,+39 0922968399,+39 0922968399,biblioteca@comune.palmadimontechiaro.ag.it,,37.1895107,13.7694488
Biblioteca comunale,Pubblica,Comune di Porto Empedocle,Comune,Palazzo comunale - Via Roma,,92014.0,+39 0922637837,,,,37.2885843,13.5280378
Biblioteca comunale,Pubblica,Comune di Racalmuto,Comune,Via Messana,,92020.0,+39 0922941852,,,,37.4069215,13.7327047
Biblioteca popolare Virtus Matrice,Pubblica,Chiesa Madre di Racalmuto,Enti ecclesiastici,Via della Repubblica 2,,92020.0,+39 0922948028,,,,37.40868,13.732503
Biblioteca comunale,Pubblica,Comune di Raffadali,Comune,Via Nazionale,,92015.0,+39 0922472244,,,,37.4097845,13.5275723
Biblioteca comunale,Pubblica,Comune di Ravanusa,Comune,Corso della Repubblica,,92029.0,+39 0922874221,,,,37.2679233,13.9750838
Biblioteca comunale Antonio Gramsci,Pubblica,Comune di Ribera,Comune,Piazza Duomo,,92016.0,+39 092561675,,,,37.5024753,13.2659348
Biblioteca comunale,Pubblica,Comune di Santa Elisabetta,Comune,Corso Umberto 45,,92020.0,+39 0922479169,,,,37.431386,13.558815
Biblioteca della Provincia regionale di Agrigento,Specializzata,Provincia di Agrigento,Provincia,Piazzale A. Moro 3,,92100.0,,,,,37.3095106,13.5860526
Biblioteca comunale Santo Spirito. Sezione esterna di Fontanelle,Pubblica,Comune di Agrigento,Comune,Via Fontanelle 33  - presso Centro civico commerciale,Fontanelle,92100.0,,,,,37.3374874377752,13.5837707552948
Biblioteca Lucchesiana,Importante non specializzata,Deputazione dei canonici della biblioteca Lucchesiana,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Via Duomo 94,,92100.0,+39 092222217,,,,37.3135702,13.577717
Biblioteca dell'Opera Pia Villa Betania,Pubblica,Opera Pia Villa Betania,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Via C. Marx 2,Villaseta,92100.0,+39 0922597777,,,,37.2966933,13.5661325
Biblioteca comunale L. Vitali,Importante non specializzata,Comune di Licata,Comune,Piazza Progresso n. 10,,92027.0,+39 0922868228,+39 09221837304,urp@comune.licata.ag.it,,37.1011276,13.9374357
Biblioteca comunale,Pubblica,Comune di Campobello di Licata,Comune,Via Sammarco 1,,92023.0,+39 0922879246,,,,37.2560726,13.9187469
Biblioteca Museo Luigi Pirandello,Specializzata,Regione siciliana,Regione,Via Imera 50,,92100.0,+39 0922622111,+39 092221774,brs.museo.ag.uo2@regione.sicilia.it,http://www.regione.sicilia.it/beniculturali/dirbenicult/biblioteche/biblioteche.html#biblioag,37.3124703,13.5857746
Biblioteca della Comunità Cristiani nel mondo,NON SPECIFICATA,0,NON SPECIFICATA,Via Piersanti Mattorella 2,,92026.0,+39 092231444,+39 0322438880,cristianinelmondo@inwind.it,,37.3510809,13.750604
Biblioteca della Fondazione Leonardo Sciascia,Specializzata,Fondazione Leonardo Sciascia,"Accademie, associazioni, fondazioni, istituti (pubblici)","V.le della vittoria, 3",,92020.0,+39 0922941993,+39 0922941993,bibliotecafondazione@alice.it,http://www.fondazioneleonardosciascia.it/cms/--/home.htm,37.4059861,13.7309295
Biblioteca Verba volant,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,Via Acrone 23,,92100.0,,,,,37.3089681,13.5834971
Biblioteca dell'Istituto Comprensivo Anna Frank,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,"Via Matteo Cimarra, 5/a",,92100.0,+39 0922603198,+39 0922603167,agic820005@istruzione.it,,37.3208802,13.5821441
Biblioteca del Circolo didattico S.G. Bosco,NON SPECIFICATA,0,NON SPECIFICATA,Via Dante 258,,92100.0,+39 092220717,,sg.bosco@tin.it,,37.311634,13.5705384
Biblioteca dell'Istituto professionale per i servizi commerciali e turistici Nicolò Gallo,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,Via Regione siciliana,,92100.0,+39 0922602467,,agrc01000l@istruzione.it,http://www.ipsctgallo.it/index.asp,37.3211324,13.5782564
Biblioteca comunale,Pubblica,Comune di Camastra,Comune,Via Vittorio Veneto,,92020.0,+39 0922950572,+39 0922950680,incardonarosa@virgilio.it,,37.2534645,13.792158
Biblioteca della Fondazione Giovanni Guarino Amella,Specializzata,Fondazione Giovanni Guarino Amella,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Contrada Montagna c.p. 1311,Villa del Buon Riposo,64100.0,+39 0922855200,+39 0916197250,+39 0922855200,+39 0922855200,37.3586112,13.8477121
Biblioteca del Polo didattico di Agrigento. Università degli studi di Palermo,Istituto di insegnamento superiore,Università degli studi di Palermo,Universita' statali,Via Ugo La Malfa,,92100.0,+39 0922403586,,bibliopolo.ag@unipa.it,http://www.unipa.it/Biblioteca-del-Polo-Didattico-di-Agrigento/,37.3020872850997,13.5929968772461
Biblioteca civica,Pubblica,Comune di Acqui Terme,Comune,Via Maggiorino Ferraris 15,,15011.0,+39 0144770267,+39 014457627,al0001@biblioteche.reteunitaria.piemonte.it,,44.6775182,8.4670569
Biblioteca civica Francesca Calvo,Importante non specializzata,Comune di Alessandria,Comune,"Piazza Vittorio Veneto, 1",,15121.0,+39 0131515911,+39 0131515902,biblioteca.civica@comune.alessandria.it,http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/1315,44.9114484,8.6193907
Biblioteca dell'Archivio di Stato di Alessandria,Specializzata,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Alessandria,Direzione generale per gli archivi,Via G. Solero 43,,15100.0,+39 0131252794,+39 0131236048,,,44.9137392,8.6259887
Biblioteca storica diocesana del Seminario vescovile,Importante non specializzata,Seminario Diocesano,Enti ecclesiastici,"Via Inviziati, 1",,15121.0,,,al0077@biblioteche.ruparpiemonte.it,,44.9169522,8.6130294
"Biblioteca delle Societa' di storia, arte e archeologia per le province di Alessandria e Asti",Specializzata,"Societa' di storia, arte e archeologia per le province di Alessandria e Asti","Accademie, associazioni, fondazioni, istituti (pubblici)",Via Plana 42,,15100.0,+39 0131264497,,,,44.9148321,8.6186655
"Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA",Specializzata,"Camera di commercio, industria, artigianato e agricoltura - CCIAA di Alessandria","Camere di commercio, industria, artigianato",Via San Lorenzo 21,,15100.0,+39 0131313221,+39 013143186,,,44.9130405,8.614091
Biblioteca civica,Pubblica,Comune di Alfiano Natta,Comune,Via Roma 6,,15021.0,+39 0141922123,+39 0141922123,,,45.0470654,8.2085733
Biblioteca civica,Pubblica,Comune di Arquata Scrivia,Comune,Piazza S. Bertelli 21,,15061.0,+39 0143600427,+39 0143600417,,,44.6866952,8.8862294
Biblioteca civica,Pubblica,Comune di Bassignana,Comune,Via Cavour 6,,15042.0,+39 013196112,+39 013196619,,,45.003353,8.73610699999995
Biblioteca civica,Pubblica,Comune di Bistagno,Comune,Corso Carlo Testa 3,,15012.0,+39 014479301,+39 014479865,,,44.6602097,8.3699538
Biblioteca civica,Pubblica,Comune di Borghetto di Borbera,Comune,"Piazza Europa, 13",,15060.0,+39 014369101,+39 0143697298,,,44.7309963,8.9452855
Biblioteca civica Pio e Ildegarda Occella,Pubblica,Comune di Bosco Marengo,Comune,Via L. Verde,,15062.0,+39 0131299342,+39 0131299686,,,44.822143,8.676652
Biblioteca civica,Pubblica,Comune di Bosio,Comune,Via Umberto I  50,,15060.0,+39 0143684536,,,,44.6469431,8.7911112
Biblioteca civica Ferrero,Pubblica,Comune di Carpeneto,Comune,Piazza Municipio 6,,15071.0,+39 014385123,,,,44.5627149,9.2176371
Biblioteca civica Fedele Barco,Pubblica,Comune di Casal Cermelli,Comune,Piazza San Carlo 8,,15072.0,+39 0131279575,,,,44.8351618,8.6260029
Biblioteca del Seminario vescovile,Importante non specializzata,"Fondazione Biblioteca del Seminario""""",Enti ecclesiastici,"Piazza Calabiana, 1",,15033.0,+39 0142.455833,,biblsem@virgilio.it,http://www.regione.piemonte.it/cultura/ricerca/biblioteche/sbn.htm?biblio=24216,45.1375546,8.4546372
Biblioteca civica,Pubblica,Comune di Cassano Spinola,Comune,Piazza XXVI Aprile 8,,15063.0,+39 014347117,+39 0143477285,,,44.766162,8.863507
Biblioteca civica,Pubblica,Comune di Cassine,Comune,Via IV Marzo 13/a,,15016.0,+39 014471009,+39 0144714258,,,44.749645,8.527466
Biblioteca civica,Pubblica,Comune di Castellar Guidobono,Comune,Piazza San Tommaso 1,,15050.0,,+39 0131898053,,,44.90638,8.94657
Biblioteca civica Francesco Poggio,Pubblica,Comune di Castellazzo Bormida,Comune,Via XXV Aprile 44,,15073.0,+39 0131272832,+39 0131270774,,,44.845581,8.577113
Biblioteca civica,Pubblica,Comune di Castelletto d'Orba,Comune,Piazza G. Marconi 1,,15060.0,+39 0143830032,,,,44.6703782,8.7298766
Biblioteca civica,Pubblica,Comune di Castelnuovo Bormida,Comune,Via Roma 42,,15017.0,+39 0144714628,,,,44.746248,8.551308
Biblioteca civica Pier Angelo Soldini,Pubblica,Comune di Castelnuovo Scrivia,Comune,Via G. Garibaldi 49,,15053.0,+39 0131826754,+39 0131823088,,,44.9798479,8.8810753
Biblioteca civica,Pubblica,Comune di Castelspina,Comune,Piazza Boccasso 3,,15070.0,+39 0131700144,,,,44.8042668,8.5829296
Biblioteca civica,Pubblica,Comune di Cella Monte,Comune,Via Francia 12,,15034.0,+39 0142488161,,,,45.0741078,8.3918688
Biblioteca civica,Pubblica,Comune di Cereseto,Comune,Via Roma 32,,15020.0,+39 0142940185,+39 0142940185,,,45.0861082,8.3168437
Biblioteca civica,Pubblica,Comune di Conzano,Comune,Via C. Vidua 10,,15030.0,+39 0142925132,,,,45.0208632,8.454491
Biblioteca civica,Pubblica,Comune di Frassineto Po,Comune,Piazza del Municipio 6,,15040.0,+39 0142482413,+39 0142482593,,,45.134055,8.5360909
Biblioteca civica,Pubblica,Comune di Frugarolo,Comune,Via San Pio V,,15065.0,+39 0131296022,+39 0131296023,,,44.8379796,8.6805468
Biblioteca civica,Pubblica,Comune di Fubine,Comune,Via Pavaranza 2,,15043.0,+39 0131778121,+39 0131778700,,,44.96541,8.4255838
Biblioteca civica Giovanni Canna,Pubblica,Comune di Gabiano,Comune,Piazza Europa 4,,15020.0,+39 0142945001,+39 0142945622,,,45.1590286,8.1935431
Biblioteca civica Giuseppe Boffito,Pubblica,Comune di Gavi,Comune,Via G. Garibaldi 44,,15066.0,+39 0143642712,,,,44.6889274,8.8036272
Biblioteca civica,Pubblica,Comune di Giarole,Comune,Via Vittorio Emanuele II  2,,15036.0,+39 014268123,+39 014268388,,,45.063072,8.56778499999996
Biblioteca civica,Pubblica,Comune di Mirabello Monferrato,Comune,Piazza G. Marconi 17,,15040.0,+39 014263121,,,,45.0357034,8.5229468
Biblioteca del Santuario di Nostra Signora delle Rocche,Specializzata,Passionisti. Santuario di Nostra Signora delle Rocche,Enti ecclesiastici,Santuario delle Rocche,,15074.0,+39 014388146,,,,44.600758,8.5875915
Biblioteca civica,Pubblica,Comune di Molare,Comune,Via Raggi 25,,15074.0,+39 0143888117,,,,44.6196939,8.5994867
Biblioteca civica,Pubblica,Comune di Montaldo Bormida,Comune,Piazza Giovanni XXIII,,15010.0,+39 014385343,+39 014385201,,,44.6833554,8.5888278
Biblioteca civica,Pubblica,Comune di Montechiaro d'Acqui,Comune,Via Nazionale 14,,15010.0,+39 014492058,+39 0144321519,,,44.5991038,8.353051
Biblioteca civica Giuseppe Piotta,Pubblica,Comune di Morano sul Po,Comune,Via G. Marconi 1,,15025.0,+39 014285123,+39 014285601,,,45.1637146,8.3660303
Biblioteca civica Rosanna Benzi,Pubblica,Comune di Morbello,Comune,Via Roma 1,,15010.0,+39 0144768146,+39 0144768277,,,44.6035985,8.5102163
Biblioteca civica,Pubblica,Comune di Morsasco,Comune,Piazza Vittorio Emanuele II - presso il Castello,,15010.0,+39 014473022,+39 014473140,,,44.6664808255252,8.55155531139224
Biblioteca civica,Pubblica,Comune di Murisengo,Comune,Piazza della Vittoria,,15020.0,+39 0141993041,+39 0141993759,,,45.0835502,8.1374019
Biblioteca civica,Pubblica,Comune di Novi Ligure,Comune,"Via G. Marconi, 66",,15067.0,+39 014376246,+39 014372592,,,44.7611125,8.7829103
Biblioteca civica,Pubblica,Comune di Occimiano,Comune,Piazza Carlo Alberto 1,,15040.0,+39 0142809131,+39 0142809100,,,45.0599293,8.5068152
Biblioteca civica,Pubblica,Comune di Odalengo Grande,Comune,Piazza S. Defendente 2,,15020.0,+39 0142949021,+39 0142949229,,,45.1093802,8.1666328
Biblioteca civica,Pubblica,Comune di Ozzano Monferrato,Comune,Via S. Maria 1,,15039.0,+39 0142487153,+39 0142487038,,,45.1018158,8.3764622
Biblioteca civica,Pubblica,Comune di Pareto,Comune,Via Mioglia 24,,15010.0,+39 019721044,+39 019721044,,,44.5138669,8.3856667
Biblioteca civica Federico Ragni,Pubblica,Comune di Piovera,Comune,Piazza San Giovanni 5,,15040.0,+39 0131698121,+39 0131698070,,,44.9593205,8.7348802
Biblioteca civica,Pubblica,Comune di Pontecurone,Comune,Piazza G. Matteotti 1,,15055.0,+39 0131886990,+39 0131886929,,,44.9604549,8.9326546
Biblioteca civica,Pubblica,Comune di Pontestura,Comune,Piazza Castello 20,,15027.0,+39 0142466134,+39 0142466867,,,45.1434752,8.333294
Biblioteca civica Tommaso e Angiolina Battaglia,Pubblica,Comune di Ponzone,Comune,Piazza Italia,,15010.0,+39 014478103,+39 014478362,,,44.5882327,8.4586825
Biblioteca antica del Castello,Specializzata,Comune di Pozzolo Formigaro,Comune,Piazza Castello 1,,15068.0,+39 0143417893,,,,44.7934548,8.7815595
Biblioteca civica Caterina De Marco,Pubblica,Comune di Pozzolo Formigaro,Comune,Piazza Castello 1,,15068.0,+39 0143417054,+39 0143418872,,,44.7934548,8.7815595
Biblioteca civica,Pubblica,Comune di Prasco,Comune,Via Roma 2,,15010.0,+39 0144375703,,,,44.640893,8.553234
Biblioteca civica A. Pesce,Pubblica,Comune di Predosa,Comune,Piazza G. Matteotti 8,,15077.0,+39 013171224,+39 013171644,,,44.7525854,8.6583719
Biblioteca civica,Pubblica,Comune di Rivalta Bormida,Comune,Via Vittorio Emanuele II  2,,15010.0,+39 0144372163,+39 0144372644,,,44.7112345,8.5504276
Biblioteca civica,Pubblica,Comune di Rocca Grimalda,Comune,Piazza Vittorio Veneto 1,,15078.0,+39 0143873121,+39 0143873494,,,44.671213,8.6477403
Biblioteca civica,Pubblica,Comune di Sala Monferrato,Comune,Via Roma 1,,15030.0,+39 0142486721,+39 0142486721,,,45.0754056,8.3581766
Biblioteca civica Alessandro Molinari,Pubblica,Comune di Sale,Comune,Via G. Bruno 13,,15045.0,+39 013184178,+39 0131828584,biblioteca@comune.sale.al.it,,44.981598,8.810068
Biblioteca civica,Pubblica,Comune di San Giorgio Monferrato,Comune,Piazza della Chiesa 1,,15020.0,+39 0142806121,+39 0142806184,,,45.1077481,8.4144266
Biblioteca civica,Pubblica,Comune di San Salvatore Monferrato,Comune,Via F. Cavalli 2,,15046.0,+39 0131238537,+39 0131238208,biblioteca@comune.sansalvatoremonferrato.al.it,,44.9949559,8.5674297
Biblioteca civica,Pubblica,Comune di Serravalle Scrivia,Comune,Piazza G. Carducci 2,,15069.0,+39 014361444,+39 014361522,,,44.722731,8.85785
Biblioteca civica,Pubblica,Comune di Sezzadio,Comune,Piazza Libertà 37,,15079.0,+39 0131703119,+39 0131703240,,,44.785671,8.5721118
Biblioteca civica,Pubblica,Comune di Solero,Comune,Via G. Marconi 1,,15029.0,+39 0131217213,+39 0131217720,,,44.9195173,8.5077366
Biblioteca civica,Pubblica,Comune di Solonghello,Comune,Piazza Castello 1,,15020.0,+39 0142944141,+39 0142944141,,,45.1309507,8.2816083
Biblioteca civica,Pubblica,Comune di Spigno Monferrato,Comune,Piazza G. Garibaldi 19,,15018.0,+39 014491155,+39 014491244,,,44.5429699,8.3351063
Biblioteca civica,Pubblica,Comune di Stazzano,Comune,Piazza Risorgimento 4,,15060.0,+39 014365303,+39 014362890,,,44.7269445,8.867483
Biblioteca civica,Pubblica,Comune di Strevi,Comune,Piazza G. Matteotti 8,,15019.0,+39 0144363124,+39 0144372741,,,44.698461,8.5222165
Biblioteca civica,Pubblica,Comune di Terzo,Comune,Via Gallaretto 11,,15010.0,+39 0144594264,+39 0144594461,,,44.6696219,8.4209876
Biblioteca civica,Pubblica,Comune di Ticineto,Comune,Via Vittorio Veneto 10,,15040.0,+39 0142411117,+39 0142411600,,,45.09608,8.55517
Biblioteca civica,Pubblica,Comune di Tortona,Comune,Via Ammiraglio Mirabello 1,,15057.0,+39 0131821302,+39 0131821595,biblioteca@comune.tortona.al.it,http://www.comune.tortona.al.it/Sezione.jsp?idSezione=573,44.898288,8.8680629
Biblioteca del Seminario diocesano,Specializzata,Seminario Diocesano di Tortona,Enti ecclesiastici,"Via Seminario, 3",,15057.0,+39 0131.816609,+39 0131.816607,beniculturali@diocesitortona.it,,44.8976286,8.8664597
Biblioteca civica,Pubblica,Comune di Treville,Comune,Via Roma 17,,15030.0,+39 0142487141,,,,45.097273,8.359639
Biblioteca civica,Pubblica,Comune di Valenza,Comune,Piazza XXXI Martiri 1,,15048.0,,+39 0131946082,biblioteca@comune.valenza.al.it,http://www.comune.valenza.al.it/italian/biblioteca_civica.php?iExpand1=4&idnews=,45.012268,8.6441846
Biblioteca civica,Pubblica,Comune di Valmacca,Comune,Via Ticineto,,15040.0,+39 0142410154,+39 0142410576,,,45.1001462,8.5785915
Biblioteca civica,Pubblica,Comune di Vignole Borbera,Comune,Viale Vochieri 2,,15060.0,+39 014367301-2,+39 014367302,,,44.7084832,8.8905891
Biblioteca civica,Pubblica,Comune di Villadeati,Comune,Piazza Martiri 6,,15020.0,+39 0141902020,+39 0141902020,,,45.0708737,8.1651713
Biblioteca civica Giuseppe Demichelis,Pubblica,Comune di Villanova Monferrato,Comune,Via Alzona 13,,15030.0,+39 0142483121,+39 0142483705,,,45.1820229,8.4780347
Biblioteca civica,Pubblica,Comune di Basaluzzo,Comune,Via S. Maria 1,,15060.0,+39 0143489107,+39 0143489370,,,44.7678912,8.7087182
Biblioteca dei Salesiani Don Bosco,Specializzata,Salesiani. Collegio San Carlo di Borgo San Martino,Enti ecclesiastici,Collegio San Carlo - Via Roma 1,,15032.0,+39 0142429121,,,,45.0894811,8.5237404
Biblioteca civica,Pubblica,Comune di Cabella Ligure,Comune,Via Cavour,,15060.0,+39 014399006,+39 014399006,,,44.6730016,9.0966022
Biblioteca civica,Pubblica,Comune di Brignano Frascata,Comune,Municipio,,15050.0,+39 0131784623,+39 0131784623,,,44.8280475,9.0061731
Biblioteca civica Giovanni Canna,Importante non specializzata,Comune di Casale Monferrato,Comune,Via Corte d'appello 12,,15033.0,+39 0142452055,+39 0142444312,,,45.1340432,8.4522332
Biblioteca civica,Pubblica,Comune di Castelletto Merli,Comune,Via Roma 17,Perno Inferiore,15020.0,+39 0141918123,+39 0141918123,,,45.068907,8.241619
Biblioteca civica,Pubblica,Comune di Cerrina,Comune,Piazza Martiri internati,,15020.0,+39 0142943421,+39 0142943817,,,45.120231,8.2153425
Biblioteca civica Elena Cavallero,Pubblica,Comune di Felizzano,Comune,Piazza Ercole,,15023.0,+39 0131791122,+39 0131772629,,,44.897853,8.4356672
Centro di documentazione della Comunita' montana valli Curone Grue Ossona,Specializzata,Comunita' montana valli Curone Grue Ossona,Comunita' montana,,Lunassi,15050.0,+39 0131786198,+39 0131786544,,,44.7848854,9.1475906
Biblioteca civica,Pubblica,Comune di Fresonara,Comune,Via G. Marconi 69,,15064.0,+39 0143480166,,,,44.7815841,8.6904218
Biblioteca civica coniugi Maria ed Eraldo Ighina,Pubblica,Comune di Ovada,Comune,Piazza Cereseto 7,,15076.0,+39 014381774,,,,44.639405,8.6457583
Biblioteca civica,Pubblica,Comune di Pietra Marazzi,Comune,Piazza Umberto I  1,,15040.0,+39 0131355124,+39 0131355124,,,44.944098,8.670661
Biblioteca civica,Pubblica,Comune di Vignale Monferrato,Comune,Piazza del Popolo,,15049.0,+39 0142923001,+39 0142933651,,,45.0107008,8.3965173
Biblioteca civica,Pubblica,Comune di Viguzzolo,Comune,Piazza Libertà 8,,15058.0,+39 0131899316,+39 0131898611,,,44.9051714,8.919159
Biblioteca del Seminario vescovile monsignor C. G. Capra,Specializzata,Seminario vescovile,Enti ecclesiastici,"Piazza Duomo, 6",,15011.0,+39 0144.57620,+39 0144.55265,AT007@biblioteche.reteunitaria.piemonte.it,http://www.diocesiacqui.piemonte.it/biblioteca.htm,44.6742314,8.4706708
